ip_address,city_network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,postal_code,latitude,longitude,accuracy_radius,continent_code,country_iso_code,subdivision_1_iso_code,subdivision_2_iso_code,metro_code,time_zone,is_in_european_union,asn_network,autonomous_system_number,is_tor_node
A:84.239.46.144,B:84.239.46.0/24,C:798549,D:798549,E:,F:0,G:,H:45.9968,I:24.9970,J:200,K:EU,L:RO,M:,N:,O:,P:Europe/Bucharest,Q:1,R:84.239.46.0/24,S:201308,T:1
A:193.239.232.102,B:193.239.232.0/24,C:2661886,D:2661886,E:,F:0,G:,H:59.3247,I:18.0560,J:500,K:EU,L:SE,M:,N:,O:,P:Europe/Stockholm,Q:1,R:193.239.232.0/24,S:41634,T:1
A:87.118.116.12,B:87.118.112.0/20,C:2921044,D:2921044,E:,F:0,G:,H:51.2993,I:9.4910,J:200,K:EU,L:DE,M:,N:,O:,P:Europe/Berlin,Q:1,R:87.118.64.0/18,S:31103,T:1
A:178.218.144.99,B:178.218.144.0/24,C:3173435,D:6252001,E:,F:0,G:20121,H:45.4722,I:9.1922,J:20,K:EU,L:IT,M:25,N:MI,O:,P:Europe/Rome,Q:1,R:178.218.144.0/24,S:212508,T:1
A:185.40.4.100,B:185.40.4.0/24,C:3143244,D:3577718,E:,F:0,G:0031,H:59.9133,I:10.7389,J:20,K:EU,L:NO,M:03,N:,O:,P:Europe/Oslo,Q:0,R:185.40.4.0/24,S:200195,T:1
A:185.40.4.44,B:185.40.4.0/24,C:3143244,D:3577718,E:,F:0,G:0031,H:59.9133,I:10.7389,J:20,K:EU,L:NO,M:03,N:,O:,P:Europe/Oslo,Q:0,R:185.40.4.0/24,S:200195,T:1
A:146.59.126.232,B:146.59.126.0/24,C:756135,D:3017382,E:,F:0,G:03-481,H:52.2629,I:21.0264,J:20,K:EU,L:PL,M:14,N:,O:,P:Europe/Warsaw,Q:1,R:146.59.0.0/16,S:16276,T:1
A:66.78.40.182,B:66.78.40.0/24,C:5815135,D:6252001,E:,F:0,G:,H:47.6109,I:-122.3303,J:1000,K:NA,L:US,M:WA,N:,O:,P:America/Los_Angeles,Q:0,R:66.78.40.0/24,S:215659,T:1
A:185.100.85.132,B:185.100.85.128/26,C:683506,D:2629691,E:,F:0,G:020335,H:44.4205,I:26.1690,J:20,K:EU,L:RO,M:B,N:,O:,P:Europe/Bucharest,Q:1,R:185.100.84.0/22,S:200651,T:1
A:195.47.238.178,B:195.47.238.0/24,C:2661886,D:2661886,E:,F:0,G:,H:59.3247,I:18.0560,J:500,K:EU,L:SE,M:,N:,O:,P:Europe/Stockholm,Q:1,R:195.47.238.0/24,S:30893,T:1
A:195.47.238.82,B:195.47.238.0/24,C:2661886,D:2661886,E:,F:0,G:,H:59.3247,I:18.0560,J:500,K:EU,L:SE,M:,N:,O:,P:Europe/Stockholm,Q:1,R:195.47.238.0/24,S:30893,T:1
A:88.80.26.2,B:88.80.16.0/20,C:2661886,D:2661886,E:,F:0,G:,H:59.3247,I:18.0560,J:500,K:EU,L:SE,M:,N:,O:,P:Europe/Stockholm,Q:1,R:88.80.16.0/20,S:33837,T:1
A:88.80.26.4,B:88.80.16.0/20,C:2661886,D:2661886,E:,F:0,G:,H:59.3247,I:18.0560,J:500,K:EU,L:SE,M:,N:,O:,P:Europe/Stockholm,Q:1,R:88.80.16.0/20,S:33837,T:1
A:104.244.78.232,B:104.244.78.0/23,C:2960316,D:6252001,E:,F:0,G:L-1341,H:49.6113,I:6.1294,J:20,K:EU,L:LU,M:LU,N:,O:,P:Europe/Luxembourg,Q:1,R:104.244.72.0/21,S:53667,T:1
A:192.76.153.253,B:192.76.153.0/24,C:2750405,D:2750405,E:,F:0,G:,H:52.3824,I:4.8995,J:100,K:EU,L:NL,M:,N:,O:,P:Europe/Amsterdam,Q:1,R:192.76.153.0/24,S:60404,T:1
A:200.122.181.2,B:200.122.128.0/18,C:3624060,D:3624060,E:,F:0,G:,H:10.0029,I:-84.0000,J:1000,K:NA,L:CR,M:,N:,O:,P:America/Costa_Rica,Q:0,R:200.122.128.0/18,S:3790,T:1
A:94.72.103.33,B:94.72.96.0/20,C:2639996,D:2921044,E:,F:0,G:PO9,H:50.8514,I:-0.9903,J:20,K:EU,L:GB,M:ENG,N:POR,O:,P:Europe/London,Q:0,R:94.72.96.0/20,S:51167,T:1
A:82.221.128.191,B:82.221.128.160/27,C:2629691,D:2629691,E:,F:0,G:,H:65.0000,I:-18.0000,J:200,K:EU,L:IS,M:,N:,O:,P:Atlantic/Reykjavik,Q:0,R:82.221.128.0/19,S:50613,T:1
